bodes	64761
bogey	136110
boggy	160662
bogie	73785
bogus	386829
boils	724726
boles	58997
bolls	105095
bolts	1851201
bolus	424998
bombs	2645815
bonds	12864912
boned	264433
bones	11073267
boney	14744
bongo	36225
bonne	282947
bonny	142426
bonus	2120444
boobs	64039
booby	194837
booed	77120
books	48204161
booms	363068
boons	86147
boors	64826
boost	1587746
booth	1230973
boots	4490489
booty	901785
booze	349865
boozy	30525
borax	316661
bored	2596408
borer	261400
bores	327032
boric	269719
borne	7851826
boron	724541
bosom	3218302
boson	119054
bossy	125354
botch	43848
bough	411307
boule	49120
bound	26580092
bouse	98179
bouts	512734
bowed	3189806
bowel	2785182
bower	389802
bowie	66152
bowls	1605394
boxed	423983
boxer	380459
boxes	7055817
boyar	52420
brace	957125
bract	62393
brags	57179
braid	535085
brain	26079290
brake	2010126
brand	5800999
brane	54523
brash	246475
brass	4836858
brats	98620
brave	6664723
bravo	84676
brawl	270515
brawn	115305
bread	13442064
break	25509819
bream	119137
breed	3796008
breve	156348
brews	73701
briar	108865
bribe	1006470
brick	6371906
bride	4848060
brief	21275759
brier	60994
brigs	107630
brims	67405
brine	797772
bring	50747169
brink	1187241
briny	73374
brisk	1220701
broad	24309069
broil	119588
broke	15618130
bromo	73970
brood	1310263
brook	1535911
broom	868489
broth	1313290
brown	17186595
brows	1143249
bruit	165727
brunt	544241
brush	5830350
brute	1698058
bucks	746319
buddy	746535
budge	398694
buffs	116886
buffy	90335
buggy	648249
bugle	363248
build	21626712
built	43272925
bulbs	1385180
bulge	620267
bulks	62677
bulky	1056322
bulla	106273
bulls	1220717
bully	786891
bumps	507629
bumpy	224251
bunch	2956868
bunds	54778
bunks	273376
bunny	157753
buoys	271080
buret	63067
burgh	309031
burin	75598
burly	446926
burns	2433118
burnt	4418621
burro	115290
burrs	120959
bursa	308854
burst	7715926
bused	47062
buses	1890858
bushy	561937
busts	416756
butch	119700
butte	67628
butts	407428
butyl	381921
buxom	137997
buyer	5309618
bylaw	112054
bytes	1453555
byway	59942
cabal	196926
cabby	50392
cabin	5271800
cable	6954547
cacao	372807
cache	1479958
cacti	193929
caddy	75703
cadet	453354
cadre	762906
caeca	57064
cafes	714817
caged	346514
cages	840901
cagey	44639
cairn	245891
caked	181794
cakes	1877048
calls	21602988
calms	236671
calyx	431371
camel	1519013
cameo	187722
campo	210496
camps	5401669
canal	8102630
candy	1883160
caned	53318
canes	563139
canna	105679
canny	191518
canoe	2611790
canon	2738498
canst	522469
canto	398114
caper	127676
capes	232534
capon	63092
caput	219276
carat	147175
carbo	54459
carbs	61230
cards	10376717
cared	4712515
carer	153725
cares	3056472
caret	86964
cargo	4777427
carob	65875
carol	152862
carpi	209928
carry	33059682
carta	130463
carte	353878
carts	1434135
carve	690329
casas	67942
cased	189282
cases	99617787
casks	460694
caste	4815422
casts	1992758
casus	124329
catch	11886259
cater	689223
catty	55233
cauda	126467
caulk	46435
causa	621544
cause	78257304
caved	170900
caves	1994920
cavil	157133
cease	6702947
cecal	54642
cecum	191254
cedar	1259589
ceded	976831
